country,prior_programming_experience,weeks_in_course,hours_spent_learning_per_week,practice_problems_solved,projects_completed,tutorial_videos_watched,uses_kaggle,participates_in_discussion_forums,debugging_sessions_per_week,self_reported_confidence_python,final_exam_score,passed_exam,age_group
7,1,0.7857142857142857,0.7134502923976608,0.48076923076923084,0.1111111111111111,0.11363636363636359,0.0,1.0,0.23529411764705882,1.0,0.538,0.0,2.0
5,3,1.0,0.8304093567251462,0.32692307692307687,0.1111111111111111,0.29545454545454547,0.0,0.0,0.29411764705882354,0.6666666666666665,0.319,0.0,1.0
3,2,0.2857142857142857,0.4502923976608187,0.6923076923076923,0.1111111111111111,0.5454545454545454,0.0,0.0,0.3529411764705882,0.2222222222222222,0.594,0.0,0.0
5,1,0.21428571428571427,0.32748538011695905,0.5576923076923077,0.2222222222222222,0.47727272727272735,1.0,0.0,0.1764705882352941,1.0,0.588,0.0,3.5
8,3,0.14285714285714285,0.2046783625730994,0.5192307692307692,0.1111111111111111,0.6363636363636362,1.0,0.0,0.1764705882352941,0.6666666666666665,0.24800000000000003,0.0,1.0
1,2,0.6428571428571428,0.49122807017543857,0.5576923076923077,0.0,0.3636363636363637,0.0,1.0,0.1764705882352941,0.2222222222222222,0.438,0.0,2.0
9,3,0.0,0.7192982456140351,0.48076923076923084,0.1111111111111111,0.3636363636363637,0.0,0.0,0.29411764705882354,0.1111111111111111,0.408,0.0,0.0
5,3,0.14285714285714285,0.3684210526315789,0.40384615384615397,0.3333333333333333,0.5,1.0,1.0,0.4117647058823529,0.0,0.247,0.0,1.0
0,1,0.14285714285714285,0.0,0.32692307692307687,0.1111111111111111,0.15909090909090912,0.0,0.0,0.29411764705882354,0.5555555555555556,0.207,0.0,0.0
1,1,0.4285714285714286,0.5263157894736842,0.48076923076923084,0.1111111111111111,0.5227272727272727,1.0,1.0,0.3529411764705882,0.2222222222222222,0.45299999999999996,0.0,0.0
1,2,0.4285714285714286,0.5847953216374269,0.4423076923076923,0.3333333333333333,0.6363636363636362,0.0,0.0,0.11764705882352941,1.0,0.6559999999999999,1.0,1.0
5,3,0.8571428571428571,0.1286549707602339,0.653846153846154,0.3333333333333333,0.5,0.0,0.0,0.11764705882352941,0.1111111111111111,0.146,0.0,2.0
1,1,1.0,0.43859649122807015,0.42307692307692313,0.1111111111111111,0.3409090909090909,1.0,1.0,0.29411764705882354,0.2222222222222222,0.289,0.0,1.0
2,3,0.7857142857142857,0.49122807017543857,0.653846153846154,0.0,0.3863636363636364,0.0,1.0,0.29411764705882354,0.7777777777777777,0.396,0.0,3.0
5,3,0.0,0.39766081871345027,0.3846153846153846,0.4444444444444444,0.47727272727272735,0.0,1.0,0.1764705882352941,0.2222222222222222,0.149,0.0,1.0
3,2,0.14285714285714285,0.26900584795321636,0.5,0.2222222222222222,0.6136363636363635,0.0,0.0,0.5294117647058824,0.3333333333333333,0.49700000000000005,0.0,3.0
7,2,0.8571428571428571,0.5847953216374269,0.5,0.1111111111111111,0.47727272727272735,0.0,0.0,0.23529411764705882,0.1111111111111111,0.43,0.0,1.0
8,3,0.5,0.3391812865497076,0.4423076923076923,0.3333333333333333,0.47727272727272735,1.0,0.0,0.3529411764705882,0.7777777777777777,0.35200000000000004,0.0,2.0
4,1,0.5714285714285714,0.14619883040935672,0.7115384615384615,0.1111111111111111,0.45454545454545453,0.0,1.0,0.3529411764705882,0.5555555555555556,0.189,0.0,2.0
6,3,0.4285714285714286,0.05263157894736842,0.6730769230769231,0.1111111111111111,0.6136363636363635,1.0,0.0,0.23529411764705882,0.8888888888888888,0.306,0.0,3.0
1,2,0.4285714285714286,0.631578947368421,0.6730769230769231,0.4444444444444444,0.5,0.0,0.0,0.47058823529411764,0.7777777777777777,0.76,1.0,1.0
3,3,0.7857142857142857,0.5146198830409356,0.3653846153846154,0.4444444444444444,0.47727272727272735,0.0,1.0,0.29411764705882354,0.3333333333333333,0.424,0.0,2.0
9,3,1.0,0.4269005847953216,0.42307692307692313,0.1111111111111111,0.659090909090909,1.0,1.0,0.29411764705882354,0.7777777777777777,0.33299999999999996,0.0,0.0
9,1,0.7142857142857143,0.3333333333333333,0.40384615384615397,0.2222222222222222,0.5,1.0,1.0,0.4117647058823529,0.0,0.35000000000000003,0.0,1.0
6,1,0.5,0.3157894736842105,0.3076923076923077,0.4444444444444444,0.659090909090909,0.0,0.0,0.3529411764705882,0.8888888888888888,0.55,0.0,1.0
8,1,0.3571428571428571,0.2222222222222222,0.6346153846153846,0.2222222222222222,0.3409090909090909,0.0,1.0,0.3529411764705882,0.4444444444444445,0.29,0.0,1.0
1,3,0.7142857142857143,0.3333333333333333,0.653846153846154,0.2222222222222222,0.75,0.0,0.0,0.4117647058823529,0.3333333333333333,0.276,0.0,1.0
2,3,0.14285714285714285,0.03508771929824561,0.46153846153846145,0.1111111111111111,0.5454545454545454,1.0,0.0,0.3529411764705882,0.4444444444444445,0.011000000000000001,0.0,0.0
6,1,1.0,0.2807017543859649,0.5384615384615385,0.2222222222222222,0.3863636363636364,0.0,1.0,0.5294117647058824,0.0,0.265,0.0,0.0
8,3,0.0,0.3567251461988304,0.23076923076923073,0.1111111111111111,0.45454545454545453,0.0,1.0,0.23529411764705882,0.1111111111111111,0.08800000000000001,0.0,3.0
1,2,0.4285714285714286,0.5146198830409356,0.5961538461538463,0.3333333333333333,0.5909090909090908,0.0,1.0,0.29411764705882354,0.1111111111111111,0.535,0.0,2.0
3,3,0.0,0.40350877192982454,0.46153846153846145,0.4444444444444444,0.5681818181818181,0.0,0.0,0.5882352941176471,0.8888888888888888,0.47000000000000003,0.0,3.5
7,1,0.0,0.5497076023391813,0.5192307692307692,0.3333333333333333,0.4090909090909091,1.0,1.0,0.23529411764705882,0.5555555555555556,0.452,0.0,1.0
